Title,Description,Node,DateTime,Bus
"BUS 125 - Nov 07, 2024 12:48:17 PM","Port Authority Bus Terminal: Bus Route Nos. 119, 125, 128, 165L, 166L 166X, and 166T Boarding Adjustments – Effective November 18, 2024",1835111,11/7/2024 12:48,125
"BUS 166 - Nov 07, 2024 12:48:17 PM","Port Authority Bus Terminal: Bus Route Nos. 119, 125, 128, 165L, 166L 166X, and 166T Boarding Adjustments – Effective November 18, 2024",1835111,11/7/2024 12:48,166
"BUS 128 - Nov 07, 2024 12:48:17 PM","Port Authority Bus Terminal: Bus Route Nos. 119, 125, 128, 165L, 166L 166X, and 166T Boarding Adjustments – Effective November 18, 2024",1835111,11/7/2024 12:48,128
"BUS 165 - Nov 07, 2024 12:48:17 PM","Port Authority Bus Terminal: Bus Route Nos. 119, 125, 128, 165L, 166L 166X, and 166T Boarding Adjustments – Effective November 18, 2024",1835111,11/7/2024 12:48,165
"BUS 66 - Nov 07, 2024 06:05:58 AM",Bus Detour for No. 66V in Union - Effective Immediately,1834919,11/7/2024 6:05,66
"BUS 34 - Nov 12, 2024 06:53:26 PM",Bus route 34M has resumed regular routing following an earlier detour in Newark between N. 11th St and 4th Ave W.,1836989,11/12/2024 18:53,34
"BUS 34 - Nov 12, 2024 06:49:15 PM",Bus routes 34M and 34B has resumed regular routing following an earlier detour on Pacific Street in Newark.,1836983,11/12/2024 18:49,34
"BUS 58 - Nov 12, 2024 06:33:58 PM","Bus route 58, the 6:32 PM arrival to Cranford is subject to up to 40-minute delays due to heavy traffic volume.",1836965,11/12/2024 18:33,58
"BUS 553 - Nov 12, 2024 05:16:38 PM","Bus route 553, the 5:03PM departure from Atlantic City, is up to 30 minutes late due to an earlier mechanical issue.",1836935,11/12/2024 17:16,553
"BUS 175 - Nov 12, 2024 04:33:50 PM","Bus route 175 will operate on a detour in Teaneck on Cedar Lane from Garrisson Ave to River Rd due to construction. Buses to GWB will use River Rd, Englewood Rd, Sussex Rd and Cedar Lane. Buses to Ridgewood will use Garrison Ave, Englewood Ave, River Rd, Northumberland Rd and Rt 4.",1836917,11/12/2024 16:33,175
"BUS 74 - Nov 12, 2024 03:48:48 PM",Bus route 74U is on a detour on Franklin Ave in Belleville due to fire activity. Buses will use Mill St and Union Ave.,1836890,11/12/2024 15:48,74
"BUS 37 - Nov 12, 2024 03:14:24 PM","Bus routes 37 and 107 are on a detour on Meeker Ave in Newark due to road closure. Buses to Maplewood will use Frelinghuysen Ave, E. Peddie St and Elizabeth Ave.",1836881,11/12/2024 15:14,37
"BUS 107 - Nov 12, 2024 03:14:24 PM","Bus routes 37 and 107 are on a detour on Meeker Ave in Newark due to road closure. Buses to Maplewood will use Frelinghuysen Ave, E. Peddie St and Elizabeth Ave.",1836881,11/12/2024 15:14,107
"BUS 194 - Nov 12, 2024 02:20:49 PM",Bus route 194 is on a detour on Hamburg Turnpike in Bloomingdale due to road work. Buses will use Main St and Park Pl.,1836866,11/12/2024 14:20,194
"BUS 780 - Nov 12, 2024 12:15:18 PM","Bus routes 772, 753, 755 and 780 will operate on detour in Teaneck. Cedar Lane is closed between River Rd and Catalpa Ave due to road construction. Buses will use Penn Ave, Catalpa Ave and Cedar Lane.",1836827,11/12/2024 12:15,780
"BUS 755 - Nov 12, 2024 12:15:18 PM","Bus routes 772, 753, 755 and 780 will operate on detour in Teaneck. Cedar Lane is closed between River Rd and Catalpa Ave due to road construction. Buses will use Penn Ave, Catalpa Ave and Cedar Lane.",1836827,11/12/2024 12:15,755
"BUS 772 - Nov 12, 2024 12:15:18 PM","Bus routes 772, 753, 755 and 780 will operate on detour in Teaneck. Cedar Lane is closed between River Rd and Catalpa Ave due to road construction. Buses will use Penn Ave, Catalpa Ave and Cedar Lane.",1836827,11/12/2024 12:15,772
"BUS 753 - Nov 12, 2024 12:15:18 PM","Bus routes 772, 753, 755 and 780 will operate on detour in Teaneck. Cedar Lane is closed between River Rd and Catalpa Ave due to road construction. Buses will use Penn Ave, Catalpa Ave and Cedar Lane.",1836827,11/12/2024 12:15,753
"BUS 453 - Nov 12, 2024 11:30:02 AM","Bus route 453 will operate on detour in Camden. Carl Miller Blvd is closed between 9th St to Ferry Ave due to road construction. Buses will use Ferry Ave, 8th St, Carl Miller Blvd and 9th St.",1836794,11/12/2024 11:30,453
"BUS 404 - Nov 12, 2024 11:20:59 AM",Bus route 404 will operate on detour in Merchantville. Centre St is closed between Cove Rd to Chestnut Ave due to PSEG repairs. Buses to Cherry Hill Mall will use Park Ave.,1836785,11/12/2024 11:20,404
"BUS 199 - Nov 12, 2024 10:12:10 AM","Clifton Commons Park & Ride: Partial Parking Lot Closure – Tuesday, November 19, 2024",1836767,11/12/2024 10:12,199
"BUS 192 - Nov 12, 2024 10:12:10 AM","Clifton Commons Park & Ride: Partial Parking Lot Closure – Tuesday, November 19, 2024",1836767,11/12/2024 10:12,192
"BUS 13 - Nov 12, 2024 10:12:10 AM","Clifton Commons Park & Ride: Partial Parking Lot Closure – Tuesday, November 19, 2024",1836767,11/12/2024 10:12,13
"BUS 74 - Nov 12, 2024 10:12:10 AM","Clifton Commons Park & Ride: Partial Parking Lot Closure – Tuesday, November 19, 2024",1836767,11/12/2024 10:12,74
"BUS 175 - Nov 12, 2024 08:51:24 AM",Bus Detour for Nos. 164 & 175 in Glen Rock – Effective Immediately ,1836725,11/12/2024 8:51,175
"BUS 164 - Nov 12, 2024 08:51:24 AM",Bus Detour for Nos. 164 & 175 in Glen Rock – Effective Immediately ,1836725,11/12/2024 8:51,164
"BUS 71 - Nov 12, 2024 08:33:52 AM","Bus Detour for Nos. 21, 71, 73 & 79 in Orange – Effective Immediately ",1836710,11/12/2024 8:33,71
"BUS 79 - Nov 12, 2024 08:33:52 AM","Bus Detour for Nos. 21, 71, 73 & 79 in Orange – Effective Immediately ",1836710,11/12/2024 8:33,79
"BUS 73 - Nov 12, 2024 08:33:52 AM","Bus Detour for Nos. 21, 71, 73 & 79 in Orange – Effective Immediately ",1836710,11/12/2024 8:33,73
"BUS 21 - Nov 12, 2024 08:33:52 AM","Bus Detour for Nos. 21, 71, 73 & 79 in Orange – Effective Immediately ",1836710,11/12/2024 8:33,21
"BUS 27 - Nov 12, 2024 07:50:23 AM","Bus route 27 will operate on detour on Peddie St between Badger Ave to Elizabeth Ave in Newark due to road construction. Buses will use Badger Ave, Bigelow St, Elizabeth Ave and Hawthorne Ave.",1836671,11/12/2024 7:50,27
"BUS 401 - Nov 12, 2024 07:37:31 AM","Bus Detour for Nos. 401, 402, 410, 412, and 463 in Woodbury - Tuesday, November 12 to Thursday, November 14, 2024",1836665,11/12/2024 7:37,401
"BUS 402 - Nov 12, 2024 07:37:31 AM","Bus Detour for Nos. 401, 402, 410, 412, and 463 in Woodbury - Tuesday, November 12 to Thursday, November 14, 2024",1836665,11/12/2024 7:37,402
"BUS 410 - Nov 12, 2024 07:37:31 AM","Bus Detour for Nos. 401, 402, 410, 412, and 463 in Woodbury - Tuesday, November 12 to Thursday, November 14, 2024",1836665,11/12/2024 7:37,410
"BUS 412 - Nov 12, 2024 07:37:31 AM","Bus Detour for Nos. 401, 402, 410, 412, and 463 in Woodbury - Tuesday, November 12 to Thursday, November 14, 2024",1836665,11/12/2024 7:37,412
"BUS 463 - Nov 12, 2024 07:37:31 AM","Bus Detour for Nos. 401, 402, 410, 412, and 463 in Woodbury - Tuesday, November 12 to Thursday, November 14, 2024",1836665,11/12/2024 7:37,463
"BUS 455 - Nov 12, 2024 07:33:18 AM","Bus Detour for No. 455 in Woodbury - Tuesday, November 12 to Thursday, November 14, 2024",1836662,11/12/2024 7:33,455
"BUS 92 - Nov 11, 2024 01:30:40 PM",Bus Detour for No. 92 in Orange - Effective Immediately,1836440,11/11/2024 13:30,92
"BUS 70 - Nov 11, 2024 10:03:11 AM","Bus Detour for No. 70 in Newark - Wednesday, November 13, 2024",1836332,11/11/2024 10:03,70
"BUS 609 - Nov 07, 2024 02:55:26 PM",Bus Detour for Nos. 609 & 619 in Trenton– Effective Immediately ,1835207,11/7/2024 14:55,609
"BUS 619 - Nov 07, 2024 02:55:26 PM",Bus Detour for Nos. 609 & 619 in Trenton– Effective Immediately ,1835207,11/7/2024 14:55,619
"BUS 24 - Nov 07, 2024 01:19:22 PM",Bus Detour for No. 24 in East Orange – Effective Immediately ,1835117,11/7/2024 13:19,24
"BUS 94 - Nov 07, 2024 01:13:22 PM",Bus Detour for No. 94 in East Orange – Effective Immediately ,1835114,11/7/2024 13:13,94
"BUS 119 - Nov 07, 2024 12:48:17 PM","Port Authority Bus Terminal: Bus Route Nos. 119, 125, 128, 165L, 166L 166X, and 166T Boarding Adjustments – Effective November 18, 2024",1835111,11/7/2024 12:48,119
"BUS 125 - Nov 07, 2024 12:48:17 PM","Port Authority Bus Terminal: Bus Route Nos. 119, 125, 128, 165L, 166L 166X, and 166T Boarding Adjustments – Effective November 18, 2024",1835111,11/7/2024 12:48,125
"BUS 166 - Nov 07, 2024 12:48:17 PM","Port Authority Bus Terminal: Bus Route Nos. 119, 125, 128, 165L, 166L 166X, and 166T Boarding Adjustments – Effective November 18, 2024",1835111,11/7/2024 12:48,166
"BUS 128 - Nov 07, 2024 12:48:17 PM","Port Authority Bus Terminal: Bus Route Nos. 119, 125, 128, 165L, 166L 166X, and 166T Boarding Adjustments – Effective November 18, 2024",1835111,11/7/2024 12:48,128
"BUS 165 - Nov 07, 2024 12:48:17 PM","Port Authority Bus Terminal: Bus Route Nos. 119, 125, 128, 165L, 166L 166X, and 166T Boarding Adjustments – Effective November 18, 2024",1835111,11/7/2024 12:48,165
"BUS 66 - Nov 07, 2024 06:05:58 AM",Bus Detour for No. 66V in Union - Effective Immediately,1834919,11/7/2024 6:05,66
"BUS 34 - Nov 12, 2024 06:53:26 PM",Bus route 34M has resumed regular routing following an earlier detour in Newark between N. 11th St and 4th Ave W.,1836989,11/12/2024 18:53,34
"BUS 34 - Nov 12, 2024 06:49:15 PM",Bus routes 34M and 34B has resumed regular routing following an earlier detour on Pacific Street in Newark.,1836983,11/12/2024 18:49,34
"BUS 553 - Nov 12, 2024 05:16:38 PM","Bus route 553, the 5:03PM departure from Atlantic City, is up to 30 minutes late due to an earlier mechanical issue.",1836935,11/12/2024 17:16,553
"BUS 175 - Nov 12, 2024 04:33:50 PM","Bus route 175 will operate on a detour in Teaneck on Cedar Lane from Garrisson Ave to River Rd due to construction. Buses to GWB will use River Rd, Englewood Rd, Sussex Rd and Cedar Lane. Buses to Ridgewood will use Garrison Ave, Englewood Ave, River Rd, Northumberland Rd and Rt 4.",1836917,11/12/2024 16:33,175
"BUS 74 - Nov 12, 2024 03:48:48 PM",Bus route 74U is on a detour on Franklin Ave in Belleville due to fire activity. Buses will use Mill St and Union Ave.,1836890,11/12/2024 15:48,74
"BUS 107 - Nov 12, 2024 03:14:24 PM","Bus routes 37 and 107 are on a detour on Meeker Ave in Newark due to road closure. Buses to Maplewood will use Frelinghuysen Ave, E. Peddie St and Elizabeth Ave.",1836881,11/12/2024 15:14,107
"BUS 37 - Nov 12, 2024 03:14:24 PM","Bus routes 37 and 107 are on a detour on Meeker Ave in Newark due to road closure. Buses to Maplewood will use Frelinghuysen Ave, E. Peddie St and Elizabeth Ave.",1836881,11/12/2024 15:14,37
"BUS 194 - Nov 12, 2024 02:20:49 PM",Bus route 194 is on a detour on Hamburg Turnpike in Bloomingdale due to road work. Buses will use Main St and Park Pl.,1836866,11/12/2024 14:20,194
"BUS 780 - Nov 12, 2024 12:15:18 PM","Bus routes 772, 753, 755 and 780 will operate on detour in Teaneck. Cedar Lane is closed between River Rd and Catalpa Ave due to road construction. Buses will use Penn Ave, Catalpa Ave and Cedar Lane.",1836827,11/12/2024 12:15,780
"BUS 772 - Nov 12, 2024 12:15:18 PM","Bus routes 772, 753, 755 and 780 will operate on detour in Teaneck. Cedar Lane is closed between River Rd and Catalpa Ave due to road construction. Buses will use Penn Ave, Catalpa Ave and Cedar Lane.",1836827,11/12/2024 12:15,772
"BUS 755 - Nov 12, 2024 12:15:18 PM","Bus routes 772, 753, 755 and 780 will operate on detour in Teaneck. Cedar Lane is closed between River Rd and Catalpa Ave due to road construction. Buses will use Penn Ave, Catalpa Ave and Cedar Lane.",1836827,11/12/2024 12:15,755
"BUS 753 - Nov 12, 2024 12:15:18 PM","Bus routes 772, 753, 755 and 780 will operate on detour in Teaneck. Cedar Lane is closed between River Rd and Catalpa Ave due to road construction. Buses will use Penn Ave, Catalpa Ave and Cedar Lane.",1836827,11/12/2024 12:15,753
"BUS 453 - Nov 12, 2024 11:30:02 AM","Bus route 453 will operate on detour in Camden. Carl Miller Blvd is closed between 9th St to Ferry Ave due to road construction. Buses will use Ferry Ave, 8th St, Carl Miller Blvd and 9th St.",1836794,11/12/2024 11:30,453
"BUS 404 - Nov 12, 2024 11:20:59 AM",Bus route 404 will operate on detour in Merchantville. Centre St is closed between Cove Rd to Chestnut Ave due to PSEG repairs. Buses to Cherry Hill Mall will use Park Ave.,1836785,11/12/2024 11:20,404
"BUS 199 - Nov 12, 2024 10:12:10 AM","Clifton Commons Park & Ride: Partial Parking Lot Closure – Tuesday, November 19, 2024",1836767,11/12/2024 10:12,199
"BUS 192 - Nov 12, 2024 10:12:10 AM","Clifton Commons Park & Ride: Partial Parking Lot Closure – Tuesday, November 19, 2024",1836767,11/12/2024 10:12,192
"BUS 13 - Nov 12, 2024 10:12:10 AM","Clifton Commons Park & Ride: Partial Parking Lot Closure – Tuesday, November 19, 2024",1836767,11/12/2024 10:12,13
"BUS 74 - Nov 12, 2024 10:12:10 AM","Clifton Commons Park & Ride: Partial Parking Lot Closure – Tuesday, November 19, 2024",1836767,11/12/2024 10:12,74
"BUS 175 - Nov 12, 2024 08:51:24 AM",Bus Detour for Nos. 164 & 175 in Glen Rock – Effective Immediately ,1836725,11/12/2024 8:51,175
"BUS 164 - Nov 12, 2024 08:51:24 AM",Bus Detour for Nos. 164 & 175 in Glen Rock – Effective Immediately ,1836725,11/12/2024 8:51,164
"BUS 71 - Nov 12, 2024 08:33:52 AM","Bus Detour for Nos. 21, 71, 73 & 79 in Orange – Effective Immediately ",1836710,11/12/2024 8:33,71
"BUS 79 - Nov 12, 2024 08:33:52 AM","Bus Detour for Nos. 21, 71, 73 & 79 in Orange – Effective Immediately ",1836710,11/12/2024 8:33,79
"BUS 73 - Nov 12, 2024 08:33:52 AM","Bus Detour for Nos. 21, 71, 73 & 79 in Orange – Effective Immediately ",1836710,11/12/2024 8:33,73
"BUS 21 - Nov 12, 2024 08:33:52 AM","Bus Detour for Nos. 21, 71, 73 & 79 in Orange – Effective Immediately ",1836710,11/12/2024 8:33,21
"BUS 27 - Nov 12, 2024 07:50:23 AM","Bus route 27 will operate on detour on Peddie St between Badger Ave to Elizabeth Ave in Newark due to road construction. Buses will use Badger Ave, Bigelow St, Elizabeth Ave and Hawthorne Ave.",1836671,11/12/2024 7:50,27
"BUS 401 - Nov 12, 2024 07:37:31 AM","Bus Detour for Nos. 401, 402, 410, 412, and 463 in Woodbury - Tuesday, November 12 to Thursday, November 14, 2024",1836665,11/12/2024 7:37,401
"BUS 402 - Nov 12, 2024 07:37:31 AM","Bus Detour for Nos. 401, 402, 410, 412, and 463 in Woodbury - Tuesday, November 12 to Thursday, November 14, 2024",1836665,11/12/2024 7:37,402
"BUS 410 - Nov 12, 2024 07:37:31 AM","Bus Detour for Nos. 401, 402, 410, 412, and 463 in Woodbury - Tuesday, November 12 to Thursday, November 14, 2024",1836665,11/12/2024 7:37,410
"BUS 412 - Nov 12, 2024 07:37:31 AM","Bus Detour for Nos. 401, 402, 410, 412, and 463 in Woodbury - Tuesday, November 12 to Thursday, November 14, 2024",1836665,11/12/2024 7:37,412
"BUS 463 - Nov 12, 2024 07:37:31 AM","Bus Detour for Nos. 401, 402, 410, 412, and 463 in Woodbury - Tuesday, November 12 to Thursday, November 14, 2024",1836665,11/12/2024 7:37,463
"BUS 455 - Nov 12, 2024 07:33:18 AM","Bus Detour for No. 455 in Woodbury - Tuesday, November 12 to Thursday, November 14, 2024",1836662,11/12/2024 7:33,455
"BUS 92 - Nov 11, 2024 01:30:40 PM",Bus Detour for No. 92 in Orange - Effective Immediately,1836440,11/11/2024 13:30,92
"BUS 70 - Nov 11, 2024 10:03:11 AM","Bus Detour for No. 70 in Newark - Wednesday, November 13, 2024",1836332,11/11/2024 10:03,70
"BUS 609 - Nov 07, 2024 02:55:26 PM",Bus Detour for Nos. 609 & 619 in Trenton– Effective Immediately ,1835207,11/7/2024 14:55,609
"BUS 619 - Nov 07, 2024 02:55:26 PM",Bus Detour for Nos. 609 & 619 in Trenton– Effective Immediately ,1835207,11/7/2024 14:55,619
"BUS 24 - Nov 07, 2024 01:19:22 PM",Bus Detour for No. 24 in East Orange – Effective Immediately ,1835117,11/7/2024 13:19,24
"BUS 94 - Nov 07, 2024 01:13:22 PM",Bus Detour for No. 94 in East Orange – Effective Immediately ,1835114,11/7/2024 13:13,94
"BUS 119 - Nov 07, 2024 12:48:17 PM","Port Authority Bus Terminal: Bus Route Nos. 119, 125, 128, 165L, 166L 166X, and 166T Boarding Adjustments – Effective November 18, 2024",1835111,11/7/2024 12:48,119
"BUS 125 - Nov 07, 2024 12:48:17 PM","Port Authority Bus Terminal: Bus Route Nos. 119, 125, 128, 165L, 166L 166X, and 166T Boarding Adjustments – Effective November 18, 2024",1835111,11/7/2024 12:48,125
"BUS 166 - Nov 07, 2024 12:48:17 PM","Port Authority Bus Terminal: Bus Route Nos. 119, 125, 128, 165L, 166L 166X, and 166T Boarding Adjustments – Effective November 18, 2024",1835111,11/7/2024 12:48,166
"BUS 128 - Nov 07, 2024 12:48:17 PM","Port Authority Bus Terminal: Bus Route Nos. 119, 125, 128, 165L, 166L 166X, and 166T Boarding Adjustments – Effective November 18, 2024",1835111,11/7/2024 12:48,128
"BUS 165 - Nov 07, 2024 12:48:17 PM","Port Authority Bus Terminal: Bus Route Nos. 119, 125, 128, 165L, 166L 166X, and 166T Boarding Adjustments – Effective November 18, 2024",1835111,11/7/2024 12:48,165
"BUS 66 - Nov 07, 2024 06:05:58 AM",Bus Detour for No. 66V in Union - Effective Immediately,1834919,11/7/2024 6:05,66
"BUS 34 - Nov 12, 2024 06:53:26 PM",Bus route 34M has resumed regular routing following an earlier detour in Newark between N. 11th St and 4th Ave W.,1836989,11/12/2024 18:53,34
"BUS 34 - Nov 12, 2024 06:49:15 PM",Bus routes 34M and 34B has resumed regular routing following an earlier detour on Pacific Street in Newark.,1836983,11/12/2024 18:49,34
"BUS 553 - Nov 12, 2024 05:16:38 PM","Bus route 553, the 5:03PM departure from Atlantic City, is up to 30 minutes late due to an earlier mechanical issue.",1836935,11/12/2024 17:16,553
"BUS 175 - Nov 12, 2024 04:33:50 PM","Bus route 175 will operate on a detour in Teaneck on Cedar Lane from Garrisson Ave to River Rd due to construction. Buses to GWB will use River Rd, Englewood Rd, Sussex Rd and Cedar Lane. Buses to Ridgewood will use Garrison Ave, Englewood Ave, River Rd, Northumberland Rd and Rt 4.",1836917,11/12/2024 16:33,175
"BUS 74 - Nov 12, 2024 03:48:48 PM",Bus route 74U is on a detour on Franklin Ave in Belleville due to fire activity. Buses will use Mill St and Union Ave.,1836890,11/12/2024 15:48,74
"BUS 194 - Nov 12, 2024 02:20:49 PM",Bus route 194 is on a detour on Hamburg Turnpike in Bloomingdale due to road work. Buses will use Main St and Park Pl.,1836866,11/12/2024 14:20,194
"BUS 780 - Nov 12, 2024 12:15:18 PM","Bus routes 772, 753, 755 and 780 will operate on detour in Teaneck. Cedar Lane is closed between River Rd and Catalpa Ave due to road construction. Buses will use Penn Ave, Catalpa Ave and Cedar Lane.",1836827,11/12/2024 12:15,780
"BUS 772 - Nov 12, 2024 12:15:18 PM","Bus routes 772, 753, 755 and 780 will operate on detour in Teaneck. Cedar Lane is closed between River Rd and Catalpa Ave due to road construction. Buses will use Penn Ave, Catalpa Ave and Cedar Lane.",1836827,11/12/2024 12:15,772
"BUS 755 - Nov 12, 2024 12:15:18 PM","Bus routes 772, 753, 755 and 780 will operate on detour in Teaneck. Cedar Lane is closed between River Rd and Catalpa Ave due to road construction. Buses will use Penn Ave, Catalpa Ave and Cedar Lane.",1836827,11/12/2024 12:15,755
"BUS 753 - Nov 12, 2024 12:15:18 PM","Bus routes 772, 753, 755 and 780 will operate on detour in Teaneck. Cedar Lane is closed between River Rd and Catalpa Ave due to road construction. Buses will use Penn Ave, Catalpa Ave and Cedar Lane.",1836827,11/12/2024 12:15,753
"BUS 453 - Nov 12, 2024 11:30:02 AM","Bus route 453 will operate on detour in Camden. Carl Miller Blvd is closed between 9th St to Ferry Ave due to road construction. Buses will use Ferry Ave, 8th St, Carl Miller Blvd and 9th St.",1836794,11/12/2024 11:30,453
"BUS 404 - Nov 12, 2024 11:20:59 AM",Bus route 404 will operate on detour in Merchantville. Centre St is closed between Cove Rd to Chestnut Ave due to PSEG repairs. Buses to Cherry Hill Mall will use Park Ave.,1836785,11/12/2024 11:20,404
"BUS 199 - Nov 12, 2024 10:12:10 AM","Clifton Commons Park & Ride: Partial Parking Lot Closure – Tuesday, November 19, 2024",1836767,11/12/2024 10:12,199
"BUS 192 - Nov 12, 2024 10:12:10 AM","Clifton Commons Park & Ride: Partial Parking Lot Closure – Tuesday, November 19, 2024",1836767,11/12/2024 10:12,192
"BUS 13 - Nov 12, 2024 10:12:10 AM","Clifton Commons Park & Ride: Partial Parking Lot Closure – Tuesday, November 19, 2024",1836767,11/12/2024 10:12,13
"BUS 74 - Nov 12, 2024 10:12:10 AM","Clifton Commons Park & Ride: Partial Parking Lot Closure – Tuesday, November 19, 2024",1836767,11/12/2024 10:12,74
"BUS 175 - Nov 12, 2024 08:51:24 AM",Bus Detour for Nos. 164 & 175 in Glen Rock – Effective Immediately ,1836725,11/12/2024 8:51,175
"BUS 164 - Nov 12, 2024 08:51:24 AM",Bus Detour for Nos. 164 & 175 in Glen Rock – Effective Immediately ,1836725,11/12/2024 8:51,164
"BUS 71 - Nov 12, 2024 08:33:52 AM","Bus Detour for Nos. 21, 71, 73 & 79 in Orange – Effective Immediately ",1836710,11/12/2024 8:33,71
"BUS 79 - Nov 12, 2024 08:33:52 AM","Bus Detour for Nos. 21, 71, 73 & 79 in Orange – Effective Immediately ",1836710,11/12/2024 8:33,79
"BUS 73 - Nov 12, 2024 08:33:52 AM","Bus Detour for Nos. 21, 71, 73 & 79 in Orange – Effective Immediately ",1836710,11/12/2024 8:33,73
"BUS 21 - Nov 12, 2024 08:33:52 AM","Bus Detour for Nos. 21, 71, 73 & 79 in Orange – Effective Immediately ",1836710,11/12/2024 8:33,21
"BUS 27 - Nov 12, 2024 07:50:23 AM","Bus route 27 will operate on detour on Peddie St between Badger Ave to Elizabeth Ave in Newark due to road construction. Buses will use Badger Ave, Bigelow St, Elizabeth Ave and Hawthorne Ave.",1836671,11/12/2024 7:50,27
"BUS 401 - Nov 12, 2024 07:37:31 AM","Bus Detour for Nos. 401, 402, 410, 412, and 463 in Woodbury - Tuesday, November 12 to Thursday, November 14, 2024",1836665,11/12/2024 7:37,401
"BUS 402 - Nov 12, 2024 07:37:31 AM","Bus Detour for Nos. 401, 402, 410, 412, and 463 in Woodbury - Tuesday, November 12 to Thursday, November 14, 2024",1836665,11/12/2024 7:37,402
"BUS 410 - Nov 12, 2024 07:37:31 AM","Bus Detour for Nos. 401, 402, 410, 412, and 463 in Woodbury - Tuesday, November 12 to Thursday, November 14, 2024",1836665,11/12/2024 7:37,410
"BUS 412 - Nov 12, 2024 07:37:31 AM","Bus Detour for Nos. 401, 402, 410, 412, and 463 in Woodbury - Tuesday, November 12 to Thursday, November 14, 2024",1836665,11/12/2024 7:37,412
"BUS 463 - Nov 12, 2024 07:37:31 AM","Bus Detour for Nos. 401, 402, 410, 412, and 463 in Woodbury - Tuesday, November 12 to Thursday, November 14, 2024",1836665,11/12/2024 7:37,463
"BUS 455 - Nov 12, 2024 07:33:18 AM","Bus Detour for No. 455 in Woodbury - Tuesday, November 12 to Thursday, November 14, 2024",1836662,11/12/2024 7:33,455
"BUS 92 - Nov 11, 2024 01:30:40 PM",Bus Detour for No. 92 in Orange - Effective Immediately,1836440,11/11/2024 13:30,92
"BUS 70 - Nov 11, 2024 10:03:11 AM","Bus Detour for No. 70 in Newark - Wednesday, November 13, 2024",1836332,11/11/2024 10:03,70
"BUS 609 - Nov 07, 2024 02:55:26 PM",Bus Detour for Nos. 609 & 619 in Trenton– Effective Immediately ,1835207,11/7/2024 14:55,609
"BUS 619 - Nov 07, 2024 02:55:26 PM",Bus Detour for Nos. 609 & 619 in Trenton– Effective Immediately ,1835207,11/7/2024 14:55,619
"BUS 24 - Nov 07, 2024 01:19:22 PM",Bus Detour for No. 24 in East Orange – Effective Immediately ,1835117,11/7/2024 13:19,24
"BUS 94 - Nov 07, 2024 01:13:22 PM",Bus Detour for No. 94 in East Orange – Effective Immediately ,1835114,11/7/2024 13:13,94
"BUS 119 - Nov 07, 2024 12:48:17 PM","Port Authority Bus Terminal: Bus Route Nos. 119, 125, 128, 165L, 166L 166X, and 166T Boarding Adjustments – Effective November 18, 2024",1835111,11/7/2024 12:48,119
"BUS 125 - Nov 07, 2024 12:48:17 PM","Port Authority Bus Terminal: Bus Route Nos. 119, 125, 128, 165L, 166L 166X, and 166T Boarding Adjustments – Effective November 18, 2024",1835111,11/7/2024 12:48,125
"BUS 165 - Nov 07, 2024 12:48:17 PM","Port Authority Bus Terminal: Bus Route Nos. 119, 125, 128, 165L, 166L 166X, and 166T Boarding Adjustments – Effective November 18, 2024",1835111,11/7/2024 12:48,165
